[I 2025-04-18 22:37:41,475] Trial 12 finished with value: 12.569663136920258 and parameters: {'max_bin': 1687, 'max_depth': 12, 'learning_rate': 0.01332798005099841, 'subsample': 0.8043403613169119, 'colsample_bytree': 0.9101851330808137, 'gamma': 0.24878410077280788, 'min_child_weight': 3, 'reg_alpha': 0.0361515578321176, 'reg_lambda': 0.022629915317619112}. Best is trial 10 with value: 12.558367087691911.
[I 2025-04-18 22:39:23,648] Trial 13 finished with value: 12.58366014199739 and parameters: {'max_bin': 1806, 'max_depth': 12, 'learning_rate': 0.024433128764767182, 'subsample': 0.7361104685765202, 'colsample_bytree': 0.9403304097252378, 'gamma': 0.3291609647335047, 'min_child_weight': 8, 'reg_alpha': 0.053551503098254176, 'reg_lambda': 0.34011260053553816}. Best is trial 10 with value: 12.558367087691911.
[I 2025-04-18 22:42:49,986] Trial 14 finished with value: 12.59625433860429 and parameters: {'max_bin': 2009, 'max_depth': 12, 'learning_rate': 0.009496385761225447, 'subsample': 0.98999180209711, 'colsample_bytree': 0.7678245642153583, 'gamma': 0.47072513220781764, 'min_child_weight': 3, 'reg_alpha': 0.0332748323453813, 'reg_lambda': 0.014177457556874514}. Best is trial 10 with value: 12.558367087691911.
[I 2025-04-18 22:51:59,201] Trial 15 finished with value: 12.509460004439905 and parameters: {'max_bin': 521, 'max_depth': 15, 'learning_rate': 0.005575586380494492, 'subsample': 0.8326641731328164, 'colsample_bytree': 0.8909358808409317, 'gamma': 0.23385560129053157, 'min_child_weight': 3, 'reg_alpha': 0.026430225881276536, 'reg_lambda': 0.8708059950098436}. Best is trial 15 with value: 12.509460004439905.
[I 2025-04-18 22:59:33,962] Trial 16 finished with value: 12.541706402986039 and parameters: {'max_bin': 529, 'max_depth': 15, 'learning_rate': 0.00527237618628213, 'subsample': 0.8483790788318302, 'colsample_bytree': 0.7005419526381854, 'gamma': 0.24128926805076967, 'min_child_weight': 6, 'reg_alpha': 0.010575746632254532, 'reg_lambda': 0.9928559519962706}. Best is trial 15 with value: 12.509460004439905.
[I 2025-04-18 23:07:47,879] Trial 17 finished with value: 12.533299727037743 and parameters: {'max_bin': 516, 'max_depth': 15, 'learning_rate': 0.0051371271725314215, 'subsample': 0.8632253308017473, 'colsample_bytree': 0.8686844863826846, 'gamma': 0.21540856733146607, 'min_child_weight': 5, 'reg_alpha': 0.010095117573312426, 'reg_lambda': 0.8974749093388976}. Best is trial 15 with value: 12.509460004439905.
[I 2025-04-18 23:16:27,881] Trial 18 finished with value: 12.515637476648942 and parameters: {'max_bin': 519, 'max_depth': 15, 'learning_rate': 0.00535192586650291, 'subsample': 0.8288013829401495, 'colsample_bytree': 0.8630444714946837, 'gamma': 0.19031796207830404, 'min_child_weight': 4, 'reg_alpha': 0.022656783408264228, 'reg_lambda': 0.971122099622623}. Best is trial 15 with value: 12.509460004439905.
[I 2025-04-18 23:22:26,695] Trial 19 finished with value: 12.531610243198191 and parameters: {'max_bin': 768, 'max_depth': 14, 'learning_rate': 0.006069544567463461, 'subsample': 0.8340137959747467, 'colsample_bytree': 0.896752202151889, 'gamma': 0.06512113847466094, 'min_child_weight': 4, 'reg_alpha': 0.02009656957562045, 'reg_lambda': 0.5658143789326449}. Best is trial 15 with value: 12.509460004439905.
[I 2025-04-18 23:23:27,649] Trial 20 finished with value: 12.811553836288743 and parameters: {'max_bin': 1445, 'max_depth': 8, 'learning_rate': 0.009885644449656159, 'subsample': 0.8226351665932803, 'colsample_bytree': 0.8345036128866133, 'gamma': 0.16472935410791348, 'min_child_weight': 3, 'reg_alpha': 0.024492596863892938, 'reg_lambda': 0.6039643523887792}. Best is trial 15 with value: 12.509460004439905.
[I 2025-04-18 23:29:46,700] Trial 21 finished with value: 12.539909506009643 and parameters: {'max_bin': 721, 'max_depth': 14, 'learning_rate': 0.00615803332774941, 'subsample': 0.855305592120041, 'colsample_bytree': 0.8984306478500259, 'gamma': 0.06328985587908964, 'min_child_weight': 4, 'reg_alpha': 0.02158287915324559, 'reg_lambda': 0.6377873358491128}. Best is trial 15 with value: 12.509460004439905.
[I 2025-04-18 23:37:50,871] Trial 22 finished with value: 12.509081754429207 and parameters: {'max_bin': 713, 'max_depth': 15, 'learning_rate': 0.006011214002368207, 'subsample': 0.8308647175132362, 'colsample_bytree': 0.8757079292079286, 'gamma': 0.08118395557982877, 'min_child_weight': 5, 'reg_alpha': 0.018120829214621766, 'reg_lambda': 0.3875893907242143}. Best is trial 22 with value: 12.509081754429207.
[I 2025-04-18 23:45:43,924] Trial 23 finished with value: 12.517586824507232 and parameters: {'max_bin': 618, 'max_depth': 15, 'learning_rate': 0.005976644930129286, 'subsample': 0.876591434058075, 'colsample_bytree': 0.8637217101618456, 'gamma': 0.12426088148399425, 'min_child_weight': 5, 'reg_alpha': 0.040408349398824414, 'reg_lambda': 0.3703560003368567}. Best is trial 22 with value: 12.509081754429207.
